順位,ライセンス種別,ライセンス番号,氏 名,期,投,所 属 / 用品契約,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,前半5G T/PIN,前半5G AVG,前半 順位,後半5G T/PIN,後半5G AVG,予選１０Ｇ成績 総T/PIN AVG,予選１０Ｇ AVG
1,S,1400,江川　司,57,左,(株)GENDA GiGO Entertainment,268,205,230,224,245,203,256,209,269,236,"1,172",234.40,4,"1,173",234.60,"2,345",234.50
2,S,1429,大久保雄矢,60,左,プロショップ･エム エムボウル,235,221,235,258,255,248,179,267,234,189,"1,204",240.80,1,"1,117",223.40,"2,321",232.10
3,S,1443,藤永　北斗,61,左,"N&KCo.,Ltd./STEEL SPORTS",227,241,231,208,222,235,236,247,233,221,"1,129",225.80,8,"1,172",234.40,"2,301",230.10
4,S,1078,山本　勲,44,左,ＡＢＳ,235,204,207,258,227,206,220,227,244,246,"1,131",226.20,7,"1,143",228.60,"2,274",227.40
5,S,761,小原　照之,32,左,スターレーン,189,247,232,222,238,196,278,203,236,213,"1,128",225.60,9,"1,126",225.20,"2,254",225.40
6,,1395,佐藤　貴啓,57,右,ドリームスタジアム太田,196,223,212,237,260,232,246,187,211,233,"1,128",225.60,10,"1,109",221.80,"2,237",223.70
7,,1434,原口　優馬,60,右,愛知川ボウル /(株)ﾊｲ･ｽﾎﾟｰﾂ社,192,278,209,171,190,225,278,188,237,266,"1,040",208.00,34,"1,194",238.80,"2,234",223.40
8,,1349,入口　光司,54,右,ラウンドワンジャパン,254,195,279,184,277,238,197,195,215,194,"1,189",237.80,2,"1,039",207.80,"2,228",222.80
9,S,1445,宮澤　拓哉,61,右,ﾊﾟｰｸﾚｰﾝ高崎･上武大学/ｻﾝﾌﾞﾘｯｼﾞ,249,255,258,222,190,191,197,247,211,201,"1,174",234.80,3,"1,047",209.40,"2,221",222.10
10,,1452,内藤　広人,61,右,岩屋ｷｬﾉﾝﾎﾞｳﾙ･(株)ｿｼｵｼﾞｬﾊﾟﾝ,169,220,223,243,249,157,248,235,246,225,"1,104",220.80,13,"1,111",222.20,"2,215",221.50
11,,1451,小野　在由,61,右,フリー,257,189,194,237,222,226,255,203,201,223,"1,099",219.80,16,"1,108",221.60,"2,207",220.70
12,S,1193,斉藤　琢哉,48,左,伊勢原ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,207,200,203,236,245,213,194,202,246,259,"1,091",218.20,20,"1,114",222.80,"2,205",220.50
13,S,1345,甘糟　翔太,54,右,江の島ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,256,227,179,190,173,245,233,243,214,233,"1,025",205.00,39,"1,168",233.60,"2,193",219.30
14,S,1289,谷合　貴志,52,右,(株)日本ｹｱｸｵﾘﾃｨ/(有)ﾕｳｷｼｽﾃﾑｻｰﾋﾞｽ,245,216,216,227,200,232,178,259,190,227,"1,104",220.80,12,"1,086",217.20,"2,190",219.00
15,S,1423,安里　秀策,59,右,(株)コロナワールド,222,218,192,203,258,190,214,244,184,258,"1,093",218.60,18,"1,090",218.00,"2,183",218.30
16,,1424,坂本　就馬,59,右,永山コパボウル,202,209,174,189,237,205,196,269,242,258,"1,011",202.20,41,"1,170",234.00,"2,181",218.10
17,,1392,松浦　和彦,56,右,フリー,155,242,163,237,196,206,234,247,245,243,993,198.60,46,"1,175",235.00,"2,168",216.80
18,,1077,堀江　真一,43,右,大学ボウル,191,195,204,236,200,204,258,208,181,277,"1,026",205.20,37,"1,128",225.60,"2,154",215.40
19,,1023,岡野　秀幸,42,右,ミスズボウル,257,218,177,226,231,286,188,210,174,174,"1,109",221.80,11,"1,032",206.40,"2,141",214.10
20,S,974,永野すばる,40,右,相模原ﾊﾟｰｸﾚｰﾝｽﾞ,243,208,245,215,182,234,185,179,213,235,"1,093",218.60,17,"1,046",209.20,"2,139",213.90
21,,1431,木村　晃,60,右,(株)ボウルスター,279,222,228,227,212,199,195,216,210,146,"1,168",233.60,5,966,193.20,"2,134",213.40
22,,1214,福丸　哲平,48,右,(株)グランドボウル,186,218,195,217,254,249,215,201,180,213,"1,070",214.00,26,"1,058",211.60,"2,128",212.80
23,S,1446,斎藤　祐太,61,右,株式会社ボウルスター,217,235,193,226,276,226,161,190,203,194,"1,147",229.40,6,974,194.80,"2,121",212.10
24,,1225,小森　清人,49,右,(株)小森商事/STEEL SPORTS/ｱﾐｭｰｽﾞﾒﾝﾄﾊﾟｰｸさくら,238,222,228,155,217,181,255,208,233,182,"1,060",212.00,28,"1,059",211.80,"2,119",211.90
25,,1435,徳久　恵大,60,右,メリーランドタケオボウル,205,203,207,246,194,209,183,216,222,234,"1,055",211.00,29,"1,064",212.80,"2,119",211.90
26,S,1267,森本　健太,51,左,蒲田イモンボウル/ﾊｲ･ｽﾎﾟｰﾂ社,279,226,170,188,192,193,188,250,259,173,"1,055",211.00,31,"1,063",212.60,"2,118",211.80
27,,1291,渡邊　雄也,52,右,(株)グランドボウル,244,253,220,194,181,186,212,244,199,155,"1,092",218.40,19,996,199.20,"2,088",208.80
28,S,1444,内藤慎之介,61,左,アルプラザボウル亀岡,194,197,160,207,204,245,233,203,209,232,962,192.40,56,"1,122",224.40,"2,084",208.40
29,,1430,田中　義一,60,右,(株)広島パークレーン,199,184,222,193,216,203,224,231,207,203,"1,014",202.80,40,"1,068",213.60,"2,082",208.20
30,S,1233,斉藤　祐哉,49,左,桜ヶ丘ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,179,257,224,180,238,212,185,232,211,164,"1,078",215.60,24,"1,004",200.80,"2,082",208.20
31,,1032,工藤　貴志,42,右,新東京ﾀﾞｲﾔﾓﾝﾄﾞﾎﾞｳﾙ･横田空軍基地ﾄﾓﾀﾞﾁﾚｰﾝｽﾞ/ｻﾝﾌﾞﾘｯｼﾞ,198,160,204,169,226,217,267,199,216,226,957,191.40,58,"1,125",225.00,"2,082",208.20
32,,1190,和田　秀和,48,右,ボウルアロー八尾/ABS,191,191,213,188,224,225,246,170,234,191,"1,007",201.40,43,"1,066",213.20,"2,073",207.30
33,,1085,山下　昌吾,44,右,タチバナボウル,192,204,178,259,212,216,223,228,154,203,"1,045",209.00,33,"1,024",204.80,"2,069",206.90
34,,1160,遠藤　誠,47,右,フリー,255,204,141,233,244,150,180,186,232,238,"1,077",215.40,25,986,197.20,"2,063",206.30
35,,1461,鶴見　亮剛,62,左,フリー,239,237,207,223,183,222,199,192,141,214,"1,089",217.80,21,968,193.60,"2,057",205.70
36,,1343,平岡　勇人,53,右,ラウンドワンジャパン/ﾊｲ･ｽﾎﾟｰﾂ社,207,193,214,214,157,258,172,203,222,201,985,197.00,48,"1,056",211.20,"2,041",204.10
37,,1132,佐野　芳宏,46,右,(株)永田屋,245,176,190,224,190,266,194,167,198,188,"1,025",205.00,38,"1,013",202.60,"2,038",203.80
38,,1368,志摩竜太郎,55,左,川口スプリングレーンズ,225,207,242,231,195,180,186,218,172,176,"1,100",220.00,14,932,186.40,"2,032",203.20
39,,1050,日置　秀一,43,右,フリー,185,214,189,195,226,225,241,174,203,179,"1,009",201.80,42,"1,022",204.40,"2,031",203.10
40,,1369,木田　大輔,55,右両手,東京ポートボウル,205,172,232,197,164,175,192,226,231,224,970,194.00,52,"1,048",209.60,"2,018",201.80
41,S,1425,伊吹　太陽,59,右,ラピュタボウル/ABS,230,233,193,191,217,180,181,190,234,168,"1,064",212.80,27,953,190.60,"2,017",201.70
42,,1277,小林　孝至,51,右,フタバボウル,237,187,204,209,192,215,195,204,208,164,"1,029",205.80,35,986,197.20,"2,015",201.50
43,,1436,入江　健太,60,右,(株)大成,189,191,155,160,180,217,222,222,199,279,875,175.00,73,"1,139",227.80,"2,014",201.40
44,,1130,岩切　稔純,46,右,(株)グランドボウル,223,257,211,206,181,227,153,201,197,157,"1,078",215.60,23,935,187.00,"2,013",201.30
45,S,1427,田中　椋也,59,右,クァトロブーム,211,160,194,187,196,206,190,184,258,226,948,189.60,62,"1,064",212.80,"2,012",201.20
46,S,1180,斉藤　征哉,47,左,江の島ボウリングセンター,208,204,210,205,200,211,186,212,184,188,"1,027",205.40,36,981,196.20,"2,008",200.80
47,S,1432,羽ヶ﨑匠海,60,右,クァトロブーム/(株)ボウルスター,254,216,221,167,231,188,162,169,214,186,"1,089",217.80,22,919,183.80,"2,008",200.80
48,,1066,加藤　祐哉,43,右,株式会社スポルト,171,181,207,180,212,212,190,188,218,246,951,190.20,60,"1,054",210.80,"2,005",200.50
49,,1315,一谷　知広,52,右,ラウンドワンジャパン/コーセー産業(株),234,254,224,188,200,201,168,190,162,181,"1,100",220.00,15,902,180.40,"2,002",200.20
50,,1070,呉竹　博之,43,右,プロショップKURETAKE,156,221,164,215,190,220,178,213,237,200,946,189.20,64,"1,048",209.60,"1,994",199.40
51,,979,須田　毅,40,右,ラウンドワンジャパン/ﾊｲ･ｽﾎﾟｰﾂ社,145,243,202,193,267,201,181,162,194,205,"1,050",210.00,32,943,188.60,"1,993",199.30
52,,1220,渡邉　航明,49,右,新小岩ｻﾆｰﾎﾞｳﾙ/ﾊｲ･ｽﾎﾟｰﾂ社/さくら,221,227,256,178,173,192,195,165,204,182,"1,055",211.00,30,938,187.60,"1,993",199.30
53,,1433,井口　遼太,60,右,MOTIV Bowling Products,217,199,130,190,193,257,215,196,193,199,929,185.80,67,"1,060",212.00,"1,989",198.90
54,,848,吉田　文啓,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ/ﾊｲ･ｽﾎﾟｰﾂ社,202,208,238,155,189,190,227,184,203,192,992,198.40,47,996,199.20,"1,988",198.80
55,,1458,増田　優希,62,右,岩屋キャノンボウル,157,210,203,197,229,245,149,206,227,163,996,199.20,44,990,198.00,"1,986",198.60
56,,1292,三浦　啓寛,52,右,新東京ﾀﾞｲﾔﾓﾝﾄﾞﾎﾞｳﾙ,203,209,204,194,156,208,191,208,231,178,966,193.20,54,"1,016",203.20,"1,982",198.20
57,,934,西川　徹,38,右,荻窪ボウル,199,173,212,211,189,203,225,130,244,192,984,196.80,49,994,198.80,"1,978",197.80
58,,1455,村上　裕一,61,右両手,フリー,194,148,189,206,233,223,138,174,258,212,970,194.00,53,"1,005",201.00,"1,975",197.50
59,,1390,吉野　浩章,56,右,フリー,188,166,160,184,180,211,191,225,234,233,878,175.60,72,"1,094",218.80,"1,972",197.20
60,,1092,正田　晃也,44,右両手,(株)コロナワールド･近亀時計店･さくら,188,202,204,205,157,189,200,238,200,187,956,191.20,59,"1,014",202.80,"1,970",197.00
61,S,1361,堀ノ内智大,54,左,(株)StarLike/ｱｲﾋﾞｰﾎﾞｳﾙ越谷,244,181,155,221,144,212,178,213,198,224,945,189.00,65,"1,025",205.00,"1,970",197.00
62,,1464,島田　卓也,62,右両手,フリー,224,224,183,194,169,220,146,210,198,192,994,198.80,45,966,193.20,"1,960",196.00
63,,1384,水野　耕佑,56,右,岩屋キャノンボウル,159,176,187,218,208,179,201,215,234,170,948,189.60,63,999,199.80,"1,947",194.70
64,,1376,松田　力也,56,右,(株)グランドボウル/ABS,178,146,190,161,206,164,188,168,279,252,881,176.20,71,"1,051",210.20,"1,932",193.20
65,,1227,鈴木　崇徳,49,左,相模原パークレーンズ,176,184,196,191,211,213,205,178,180,190,958,191.60,57,966,193.20,"1,924",192.40
66,,1310,笹田　泰裕,52,右,伊賀にんにんボウル,158,194,179,229,205,154,143,215,213,228,965,193.00,55,953,190.60,"1,918",191.80
67,,1377,羽賀　秀和,56,右,エムズケイ(株),182,158,209,195,173,163,142,225,222,249,917,183.40,68,"1,001",200.20,"1,918",191.80
68,,1117,松本　智弥,45,右,ラウンドワンジャパン,220,191,168,196,156,174,180,182,202,236,931,186.20,66,974,194.80,"1,905",190.50
69,,1465,田村　翼,62,右,浦和スプリングレーンズ,238,173,207,163,170,176,235,187,202,153,951,190.20,61,953,190.60,"1,904",190.40
70,,1297,藤川　大輔,52,右,ラウンドワンジャパン,236,192,220,146,190,154,148,235,178,204,984,196.80,50,919,183.80,"1,903",190.30
71,S,1198,小林　哲也,48,左,ｲﾘｽﾎﾞｳﾙ･(株)ｺﾛﾅﾜｰﾙﾄﾞ･しんじ湖ﾎﾞｳﾙ,259,178,172,132,168,246,186,194,169,181,909,181.80,69,976,195.20,"1,885",188.50
72,準,312,半井　清,10,右,東京ﾎﾟｰﾄﾎﾞｳﾙ/ﾌﾟﾛｼｮｯﾌﾟﾅｶﾗｲ,169,175,148,195,203,200,173,221,180,193,890,178.00,70,967,193.40,"1,857",185.70
73,,1466,犬飼　健志,62,右両手,東名ボール,177,234,189,188,195,198,132,178,157,189,983,196.60,51,854,170.80,"1,837",183.70
74,,1352,ブライアン・グリーンウッド,54,右,STEEL SPORTS,147,156,137,143,201,184,253,224,214,168,784,156.80,75,"1,043",208.60,"1,827",182.70
75,,1350,山中　悟,54,右,江の島ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,170,160,194,171,179,169,191,208,157,173,874,174.80,74,898,179.60,"1,772",177.20
