シフト,レーン,ゲーム,右利き_女性,右利き_男性,左利き_女性,左利き_男性,左利き_男性_累積,左利き_女性_累積,右利き_男性_累積,右利き_女性_累積
A,9L・10L,7,2.0,2.0,0.0,1.0,3.0,0.0,15.0,12.0
A,9L・10L,8,2.0,3.0,0.0,0.0,4.0,0.0,17.0,14.0
B,11L・12L,1,1.0,2.0,1.0,1.0,4.0,0.0,20.0,16.0
B,11L・12L,2,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
B,11L・12L,3,2.0,2.0,0.0,1.0,1.0,2.0,5.0,2.0
B,11L・12L,4,2.0,3.0,0.0,0.0,2.0,2.0,7.0,4.0
B,11L・12L,5,2.0,3.0,0.0,0.0,2.0,2.0,10.0,6.0
B,11L・12L,6,2.0,3.0,0.0,0.0,2.0,2.0,13.0,8.0
B,11L・12L,7,2.0,2.0,0.0,1.0,2.0,2.0,16.0,10.0
B,11L・12L,8,1.0,3.0,1.0,0.0,3.0,2.0,18.0,12.0
B,13L・14L,1,2.0,3.0,0.0,0.0,3.0,3.0,21.0,13.0
B,13L・14L,2,1.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0
B,13L・14L,3,2.0,3.0,0.0,0.0,1.0,1.0,5.0,3.0
B,13L・14L,4,1.0,3.0,1.0,0.0,1.0,1.0,8.0,5.0
B,13L・14L,5,2.0,2.0,0.0,1.0,1.0,2.0,11.0,6.0
B,13L・14L,6,2.0,2.0,0.0,1.0,2.0,2.0,13.0,8.0
B,13L・14L,7,2.0,3.0,0.0,0.0,3.0,2.0,15.0,10.0
B,13L・14L,8,1.0,3.0,1.0,0.0,3.0,2.0,18.0,12.0
B,15L・16L,1,1.0,3.0,1.0,0.0,3.0,3.0,21.0,13.0
B,15L・16L,2,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0
B,15L・16L,3,1.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0
B,15L・16L,4,2.0,3.0,0.0,0.0,2.0,3.0,6.0,3.0
B,15L・16L,5,2.0,1.0,0.0,2.0,2.0,3.0,9.0,5.0
B,15L・16L,6,2.0,2.0,0.0,1.0,4.0,3.0,10.0,7.0
B,15L・16L,7,2.0,2.0,0.0,1.0,5.0,3.0,12.0,9.0
B,15L・16L,8,1.0,2.0,1.0,1.0,6.0,3.0,14.0,11.0
B,17L・18L,1,1.0,3.0,1.0,0.0,7.0,4.0,16.0,12.0
B,17L・18L,2,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0
B,17L・18L,3,1.0,3.0,1.0,0.0,1.0,2.0,5.0,2.0
B,17L・18L,4,2.0,2.0,0.0,1.0,1.0,3.0,8.0,3.0
B,17L・18L,5,2.0,3.0,0.0,0.0,2.0,3.0,10.0,5.0
B,17L・18L,6,2.0,3.0,0.0,0.0,2.0,3.0,13.0,7.0
B,17L・18L,7,2.0,3.0,0.0,0.0,2.0,3.0,16.0,9.0
B,17L・18L,8,2.0,2.0,0.0,1.0,2.0,3.0,19.0,11.0
B,19L・20L,1,1.0,2.0,1.0,1.0,3.0,3.0,21.0,13.0
B,19L・20L,2,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0
B,19L・20L,3,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0
B,19L・20L,4,2.0,3.0,0.0,0.0,2.0,2.0,7.0,4.0
B,19L・20L,5,1.0,3.0,1.0,0.0,2.0,2.0,10.0,6.0
B,19L・20L,6,2.0,2.0,0.0,1.0,2.0,3.0,13.0,7.0
B,19L・20L,7,2.0,2.0,0.0,1.0,3.0,3.0,15.0,9.0
B,19L・20L,8,2.0,3.0,0.0,0.0,4.0,3.0,17.0,11.0
B,21L・22L,1,2.0,2.0,0.0,1.0,4.0,3.0,20.0,13.0
B,21L・22L,2,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0
B,21L・22L,3,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0
B,21L・22L,4,1.0,2.0,1.0,0.0,3.0,2.0,6.0,4.0
B,21L・22L,5,2.0,3.0,0.0,0.0,3.0,3.0,8.0,5.0
B,21L・22L,6,2.0,1.0,0.0,2.0,3.0,3.0,11.0,7.0
B,21L・22L,7,2.0,2.0,0.0,1.0,5.0,3.0,12.0,9.0
B,21L・22L,8,2.0,2.0,0.0,1.0,6.0,3.0,14.0,11.0
B,23L・24L,1,2.0,3.0,0.0,0.0,7.0,3.0,16.0,13.0
B,23L・24L,2,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0
B,23L・24L,3,1.0,2.0,1.0,1.0,0.0,1.0,6.0,3.0
B,23L・24L,4,1.0,3.0,1.0,0.0,1.0,2.0,8.0,4.0
B,23L・24L,5,2.0,2.0,0.0,1.0,1.0,3.0,11.0,5.0
B,23L・24L,6,2.0,3.0,0.0,0.0,2.0,3.0,13.0,7.0
B,23L・24L,7,2.0,3.0,0.0,0.0,2.0,3.0,16.0,9.0
B,23L・24L,8,2.0,3.0,0.0,0.0,2.0,3.0,19.0,11.0
B,25L・26L,1,2.0,2.0,0.0,1.0,2.0,3.0,22.0,13.0
B,25L・26L,2,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0
B,25L・26L,3,2.0,3.0,0.0,0.0,2.0,1.0,4.0,3.0
B,25L・26L,4,1.0,2.0,1.0,1.0,2.0,1.0,7.0,5.0
B,25L・26L,5,2.0,3.0,0.0,0.0,3.0,2.0,9.0,6.0
B,25L・26L,6,1.0,3.0,1.0,0.0,3.0,2.0,12.0,8.0
B,25L・26L,7,2.0,2.0,0.0,1.0,3.0,3.0,15.0,9.0
B,25L・26L,8,2.0,2.0,0.0,1.0,4.0,3.0,17.0,11.0
B,27L・28L,1,2.0,3.0,0.0,0.0,5.0,3.0,19.0,13.0
B,27L・28L,2,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
B,27L・28L,3,1.0,3.0,1.0,0.0,1.0,0.0,5.0,4.0
B,27L・28L,4,1.0,1.0,1.0,2.0,1.0,1.0,8.0,5.0
B,27L・28L,5,1.0,2.0,1.0,0.0,3.0,2.0,9.0,6.0
B,27L・28L,6,2.0,3.0,0.0,0.0,3.0,3.0,11.0,7.0
B,27L・28L,7,2.0,1.0,0.0,2.0,3.0,3.0,14.0,9.0
B,27L・28L,8,2.0,2.0,0.0,1.0,5.0,3.0,15.0,11.0
B,29L・30L,1,2.0,2.0,0.0,1.0,6.0,3.0,17.0,13.0
B,29L・30L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
B,29L・30L,3,1.0,3.0,1.0,0.0,1.0,0.0,5.0,4.0
B,29L・30L,4,1.0,2.0,1.0,1.0,1.0,1.0,8.0,5.0
B,29L・30L,5,1.0,3.0,1.0,0.0,2.0,2.0,10.0,6.0
B,29L・30L,6,2.0,2.0,0.0,1.0,2.0,3.0,13.0,7.0
B,29L・30L,7,2.0,3.0,0.0,0.0,3.0,3.0,15.0,9.0
B,29L・30L,8,2.0,3.0,0.0,0.0,3.0,3.0,18.0,11.0
B,31L・32L,1,2.0,2.0,0.0,1.0,3.0,3.0,21.0,13.0
B,31L・32L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
B,31L・32L,3,1.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0
B,31L・32L,4,2.0,3.0,0.0,0.0,3.0,1.0,6.0,5.0
B,31L・32L,5,1.0,2.0,1.0,1.0,3.0,1.0,9.0,7.0
B,31L・32L,6,2.0,3.0,0.0,0.0,4.0,2.0,11.0,8.0
B,31L・32L,7,1.0,3.0,1.0,0.0,4.0,2.0,14.0,10.0
B,31L・32L,8,2.0,2.0,0.0,1.0,4.0,3.0,17.0,11.0
B,33L・34L,1,2.0,3.0,0.0,0.0,5.0,3.0,19.0,13.0
B,33L・34L,2,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
B,33L・34L,3,2.0,2.0,0.0,1.0,0.0,0.0,6.0,4.0
B,33L・34L,4,1.0,3.0,1.0,0.0,1.0,0.0,8.0,6.0
B,33L・34L,5,1.0,1.0,1.0,2.0,1.0,1.0,11.0,7.0
B,33L・34L,6,1.0,2.0,1.0,0.0,3.0,2.0,12.0,8.0
B,33L・34L,7,2.0,3.0,0.0,0.0,3.0,3.0,14.0,9.0
B,33L・34L,8,2.0,1.0,0.0,2.0,3.0,3.0,17.0,11.0
B,35L・36L,1,2.0,2.0,0.0,1.0,5.0,3.0,18.0,13.0
B,35L・36L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
B,35L・36L,3,2.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0
B,35L・36L,4,1.0,3.0,1.0,0.0,2.0,0.0,7.0,6.0
B,35L・36L,5,1.0,2.0,1.0,1.0,2.0,1.0,10.0,7.0
B,35L・36L,6,1.0,3.0,1.0,0.0,3.0,2.0,12.0,8.0
B,35L・36L,7,2.0,2.0,0.0,1.0,3.0,3.0,15.0,9.0
B,35L・36L,8,2.0,3.0,0.0,0.0,4.0,3.0,17.0,11.0
B,37L・38L,1,2.0,1.0,0.0,2.0,4.0,3.0,20.0,13.0
B,37L・38L,2,2.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0
B,37L・38L,3,2.0,2.0,0.0,1.0,3.0,0.0,3.0,4.0
B,37L・38L,4,1.0,2.0,1.0,1.0,4.0,0.0,5.0,6.0
B,37L・38L,5,2.0,3.0,0.0,0.0,5.0,1.0,7.0,7.0
B,37L・38L,6,1.0,2.0,1.0,1.0,5.0,1.0,10.0,9.0
B,37L・38L,7,2.0,3.0,0.0,0.0,6.0,2.0,12.0,10.0
B,37L・38L,8,1.0,3.0,1.0,0.0,6.0,2.0,15.0,12.0
B,39L・40L,1,2.0,3.0,0.0,0.0,6.0,3.0,18.0,13.0
B,39L・40L,2,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
B,39L・40L,3,2.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0
B,39L・40L,4,2.0,2.0,0.0,1.0,0.0,0.0,9.0,6.0
B,39L・40L,5,1.0,3.0,1.0,0.0,1.0,0.0,11.0,8.0
B,39L・40L,6,1.0,1.0,1.0,2.0,1.0,1.0,14.0,9.0
B,39L・40L,7,1.0,2.0,1.0,0.0,3.0,2.0,15.0,10.0
B,39L・40L,8,2.0,3.0,0.0,0.0,3.0,3.0,17.0,11.0
B,3L・4L,1,1.0,2.0,1.0,0.0,3.0,3.0,20.0,13.0
B,3L・4L,2,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0
B,3L・4L,3,2.0,1.0,0.0,2.0,0.0,1.0,5.0,3.0
B,3L・4L,4,2.0,2.0,0.0,1.0,2.0,1.0,6.0,5.0
B,3L・4L,5,2.0,2.0,0.0,1.0,3.0,1.0,8.0,7.0
B,3L・4L,6,1.0,2.0,1.0,1.0,4.0,1.0,10.0,9.0
B,3L・4L,7,2.0,3.0,0.0,0.0,5.0,2.0,12.0,10.0
B,3L・4L,8,1.0,2.0,1.0,1.0,5.0,2.0,15.0,12.0
B,41L・42L,1,1.0,3.0,1.0,0.0,6.0,3.0,17.0,13.0
B,41L・42L,2,2.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
B,41L・42L,3,2.0,2.0,0.0,1.0,1.0,1.0,5.0,3.0
B,41L・42L,4,2.0,3.0,0.0,0.0,2.0,1.0,7.0,5.0
B,41L・42L,5,1.0,3.0,1.0,0.0,2.0,1.0,10.0,7.0
B,41L・42L,6,1.0,2.0,1.0,1.0,2.0,2.0,13.0,8.0
B,41L・42L,7,1.0,3.0,1.0,0.0,3.0,3.0,15.0,9.0
B,41L・42L,8,2.0,2.0,0.0,1.0,3.0,4.0,18.0,10.0
B,43L・44L,1,2.0,3.0,0.0,0.0,4.0,4.0,20.0,12.0
B,43L・44L,2,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0
B,43L・44L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
B,43L・44L,4,2.0,2.0,0.0,1.0,3.0,0.0,6.0,6.0
B,43L・44L,5,1.0,2.0,1.0,1.0,4.0,0.0,8.0,8.0
B,43L・44L,6,2.0,3.0,0.0,0.0,5.0,1.0,10.0,9.0
B,43L・44L,7,1.0,2.0,1.0,1.0,5.0,1.0,13.0,11.0
B,43L・44L,8,2.0,3.0,0.0,0.0,6.0,2.0,15.0,12.0
B,45L・46L,1,2.0,2.0,0.0,1.0,6.0,2.0,18.0,14.0
B,45L・46L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
B,45L・46L,3,2.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0
B,45L・46L,4,2.0,3.0,0.0,0.0,1.0,0.0,8.0,6.0
B,45L・46L,5,2.0,2.0,0.0,1.0,1.0,0.0,11.0,8.0
B,45L・46L,6,1.0,3.0,1.0,0.0,2.0,0.0,13.0,10.0
B,45L・46L,7,1.0,1.0,1.0,2.0,2.0,1.0,16.0,11.0
B,45L・46L,8,1.0,2.0,1.0,0.0,4.0,2.0,17.0,12.0
B,47L・48L,1,2.0,3.0,0.0,0.0,4.0,3.0,19.0,13.0
B,47L・48L,2,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0
B,47L・48L,3,2.0,2.0,0.0,1.0,0.0,1.0,6.0,3.0
B,47L・48L,4,2.0,2.0,0.0,1.0,1.0,1.0,8.0,5.0
B,47L・48L,5,2.0,3.0,0.0,0.0,2.0,1.0,10.0,7.0
B,47L・48L,6,1.0,3.0,1.0,0.0,2.0,1.0,13.0,9.0
B,47L・48L,7,1.0,2.0,1.0,1.0,2.0,2.0,16.0,10.0
B,47L・48L,8,1.0,3.0,1.0,0.0,3.0,3.0,18.0,11.0
B,5L・6L,1,1.0,3.0,1.0,0.0,3.0,4.0,21.0,12.0
B,5L・6L,2,2.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
B,5L・6L,3,2.0,3.0,0.0,0.0,1.0,1.0,5.0,3.0
B,5L・6L,4,2.0,3.0,0.0,0.0,1.0,1.0,8.0,5.0
B,5L・6L,5,2.0,3.0,0.0,0.0,1.0,1.0,11.0,7.0
B,5L・6L,6,2.0,2.0,0.0,1.0,1.0,1.0,14.0,9.0
B,5L・6L,7,1.0,3.0,1.0,0.0,2.0,1.0,16.0,11.0
B,5L・6L,8,1.0,1.0,1.0,2.0,2.0,2.0,19.0,12.0
B,7L・8L,1,1.0,2.0,1.0,1.0,4.0,3.0,20.0,13.0
B,7L・8L,2,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0
B,7L・8L,3,1.0,3.0,1.0,0.0,1.0,1.0,5.0,3.0
B,7L・8L,4,2.0,2.0,0.0,1.0,1.0,2.0,8.0,4.0
B,7L・8L,5,2.0,2.0,0.0,1.0,2.0,2.0,10.0,6.0
B,7L・8L,6,2.0,3.0,0.0,0.0,3.0,2.0,12.0,8.0
B,7L・8L,7,1.0,3.0,1.0,0.0,3.0,2.0,15.0,10.0
B,7L・8L,8,1.0,2.0,1.0,1.0,3.0,3.0,18.0,11.0
B,9L・10L,1,1.0,1.0,1.0,2.0,4.0,4.0,20.0,12.0
B,9L・10L,2,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0
B,9L・10L,3,2.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0
B,9L・10L,4,2.0,1.0,0.0,2.0,2.0,2.0,6.0,4.0
B,9L・10L,5,2.0,2.0,0.0,1.0,4.0,2.0,7.0,6.0
B,9L・10L,6,2.0,2.0,0.0,1.0,5.0,2.0,9.0,8.0
B,9L・10L,7,1.0,2.0,1.0,1.0,6.0,2.0,11.0,10.0
B,9L・10L,8,2.0,3.0,0.0,0.0,7.0,3.0,13.0,11.0
